,Column,Code,Label,English_Text,Target,Class,Other For
975,LBDHI,2,Negative,"['HIV antibody test result', 'HIV Result (western blot)']","['Both males and females 18 YEARS - 49 YEARS', 'Both males and females 18 YEARS - 59 YEARS']",,
976,LBDHI,3,Indeterminate,"['HIV antibody test result', 'HIV Result (western blot)']","['Both males and females 18 YEARS - 49 YEARS', 'Both males and females 18 YEARS - 59 YEARS']",,
977,LBDHI,.,Missing,"['HIV antibody test result', 'HIV Result (western blot)']","['Both males and females 18 YEARS - 49 YEARS', 'Both males and females 18 YEARS - 59 YEARS']",,
1006,LBXCD4,5 To 1640,Range Of Values,['CD4 counts (cells/mm3)'],['Both males and females 18 YEARS - 49 YEARS'],,
1007,LBXCD4,.,Missing,['CD4 counts (cells/mm3)'],['Both males and females 18 YEARS - 49 YEARS'],,
1008,LBXCD4,6 To 1176,Range Of Values,['CD4 counts (cells/mm3)'],['Both males and females 18 YEARS - 49 YEARS'],,
1010,LBXCD4,166 To 1911,Range Of Values,['CD4 counts (cells/mm3)'],['Both males and females 18 YEARS - 49 YEARS'],,
1012,LBXCD4,3 To 1859,Range Of Values,['CD4 counts (cells/mm3)'],['Both males and females 18 YEARS - 49 YEARS'],,
1014,LBXCD8,162 To 1545,Range Of Values,['CD8 counts (cells/mm3)'],['Both males and females 18 YEARS - 49 YEARS'],,
1015,LBXCD8,.,Missing,['CD8 counts (cells/mm3)'],['Both males and females 18 YEARS - 49 YEARS'],,
1016,LBXCD8,218 To 1321,Range Of Values,['CD8 counts (cells/mm3)'],['Both males and females 18 YEARS - 49 YEARS'],,
1018,LBXCD8,137 To 1689,Range Of Values,['CD8 counts (cells/mm3)'],['Both males and females 18 YEARS - 49 YEARS'],,
1020,LBXCD8,65 To 1210,Range Of Values,['CD8 counts (cells/mm3)'],['Both males and females 18 YEARS - 49 YEARS'],,
1022,WTSVOC2Y,6703.435144 To 992877.35227,Range Of Values,"[nan, 'VOC subsample 2 yr MEC Weight', 'VOC Subsample 2 yr MEC weight', 'VOC Subsample Weight']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1023,WTSVOC2Y,0,Non-Respondent,"[nan, 'VOC subsample 2 yr MEC Weight', 'VOC Subsample 2 yr MEC weight', 'VOC Subsample Weight']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1024,WTSVOC2Y,.,Missing,"[nan, 'VOC subsample 2 yr MEC Weight', 'VOC Subsample 2 yr MEC weight', 'VOC Subsample Weight']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1025,WTSVOC2Y,0 To 992877.35227,Range Of Values,"[nan, 'VOC subsample 2 yr MEC Weight', 'VOC Subsample 2 yr MEC weight', 'VOC Subsample Weight']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1027,WTSVOC2Y,0 To 576402.46313,Range Of Values,"[nan, 'VOC subsample 2 yr MEC Weight', 'VOC Subsample 2 yr MEC weight', 'VOC Subsample Weight']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1029,WTSVOC2Y,0 To 291188.07353,Range Of Values,"[nan, 'VOC subsample 2 yr MEC Weight', 'VOC Subsample 2 yr MEC weight', 'VOC Subsample Weight']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1031,WTSVOC2Y,2605.678075 To 325216.78843,Range Of Values,"[nan, 'VOC subsample 2 yr MEC Weight', 'VOC Subsample 2 yr MEC weight', 'VOC Subsample Weight']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1032,WTSVOC2Y,0,No Lab Result,"[nan, 'VOC subsample 2 yr MEC Weight', 'VOC Subsample 2 yr MEC weight', 'VOC Subsample Weight']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1034,WTSVOC2Y,0 To 325216.78843,Range Of Values,"[nan, 'VOC subsample 2 yr MEC Weight', 'VOC Subsample 2 yr MEC weight', 'VOC Subsample Weight']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1038,WTSVOC2Y,7544.8236215 To 319733.44187,Range Of Values,"[nan, 'VOC subsample 2 yr MEC Weight', 'VOC Subsample 2 yr MEC weight', 'VOC Subsample Weight']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1044,WTSVOC2Y,7930.7314837 To 335126.1522,Range Of Values,"[nan, 'VOC subsample 2 yr MEC Weight', 'VOC Subsample 2 yr MEC weight', 'VOC Subsample Weight']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
