"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"SXQ_H","SXQ768","SXQ768",NA,NA,"Females only 18 YEARS - 69 YEARS",NA,NA
"SXQ_H","SXQ747","SXQ747",NA,NA,"Females only 18 YEARS - 69 YEARS",NA,NA
"SXQ_H","SXD771","SXD771",NA,NA,"Females only 18 YEARS - 69 YEARS",NA,NA
"SXQ_H","SXQ759","SXQ759",NA,NA,"Females only 18 YEARS - 69 YEARS",NA,NA
"SXQ_H","SXD750","SXD750",NA,NA,"Females only 18 YEARS - 69 YEARS",NA,NA
"SXQ_H","SXQ753","SXQ753","Ever told by doctor you had HPV","Has a doctor or other health care professional ever told you that you had human papillomavirus or HPV?","Females only 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""160"", ""1634"", ""3"", ""1"", ""3259""]; Cumulative=[""160"", ""1794"", ""1797"", ""1798"", ""5057""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"SXQ_H","SXQ260","SXQ260","Doctor ever told you had genital herpes","Has a doctor or other health care professional ever told you that you had genital herpes?","Both males and females 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""127"", ""3348"", ""4"", ""1"", ""1577""]; Cumulative=[""127"", ""3475"", ""3479"", ""3480"", ""5057""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"SXQ_H","SXQ265","SXQ265","Doctor ever told you had genital warts","Has a doctor or other health care professional ever told you that you had genital warts?","Both males and females 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""127"", ""3349"", ""4"", ""0"", ""1577""]; Cumulative=[""127"", ""3476"", ""3480"", ""3480"", ""5057""]; Skip.to.Item=["""", ""SXQ270"", ""SXQ270"", ""SXQ270"", """"]"
"SXQ_H","SXQ267","SXQ267","Age when told you had genital warts","How old were you when you were first told that you had genital warts?","Both males and females 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""0 to 50"", ""77"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""127"", ""0"", ""0"", ""4930""]; Cumulative=[""127"", ""127"", ""127"", ""5057""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"SXQ_H","SXQ270","SXQ270","Doctor ever told you had gonorrhea","In the past 12 months has a doctor or other health care professional told you that you had gonorrhea sometimes called GC or clap?","Both males and females 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""9"", ""3467"", ""4"", ""0"", ""1577""]; Cumulative=[""9"", ""3476"", ""3480"", ""3480"", ""5057""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"SXQ_H","SXQ272","SXQ272","Doctor ever told you had chlamydia","In the past 12 months has a doctor or other health care professional told you that you had chlamydia?","Both males and females 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""45"", ""3430"", ""4"", ""1"", ""1577""]; Cumulative=[""45"", ""3475"", ""3479"", ""3480"", ""5057""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"SXQ_H","SXQ280","SXQ280","Are you circumcised or uncircumcised","Are you circumcised or uncircumcised?","Males only 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Circumcised"", ""Uncircumcised"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1174"", ""503"", ""4"", ""1"", ""3375""]; Cumulative=[""1174"", ""1677"", ""1681"", ""1682"", ""5057""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"SXQ_H","SXQ292","SXQ292","Describe sexual orientation (male)","Do you think of yourself as...","Males only 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""9"", "".""]; Value.Description=[""Heterosexual or straight (attracted to women)"", ""Homosexual or gay (attracted to men)"", ""Bisexual (attracted to men and women)"", ""Something else"", ""Not sure"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1687"", ""40"", ""25"", ""10"", ""10"", ""7"", ""11"", ""3267""]; Cumulative=[""1687"", ""1727"", ""1752"", ""1762"", ""1772"", ""1779"", ""1790"", ""5057""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"SXQ_H","SXQ756","SXQ756",NA,NA,"Females only 18 YEARS - 69 YEARS",NA,NA
"SXQ_H","SXQ294","SXQ294","Describe sexual orientation (female)","Do you think of yourself as...","Females only 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""9"", "".""]; Value.Description=[""Heterosexual or straight (attracted to men)"", ""Homosexual or lesbian (attracted to women)"", ""Bisexual (attracted to men and women)"", ""Something else"", ""Not sure"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1707"", ""23"", ""101"", ""17"", ""38"", ""6"", ""7"", ""3158""]; Cumulative=[""1707"", ""1730"", ""1831"", ""1848"", ""1886"", ""1892"", ""1899"", ""5057""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
