"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"DXX_J","SEQN","SEQN","Respondent sequence number","Respondent sequence number","Both males and females 8 YEARS - 59 YEARS",NA,NA
"DXX_J","DXARLTV","DXARLTV","Right Leg Tissue Invalidity Code","Right Leg Tissue Invalidity Code","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Positioning problem"", ""Other"", ""Missing""]; Count=[""4027"", ""56"", ""100"", ""145"", ""7"", ""1"", ""778""]; Cumulative=[""4027"", ""4083"", ""4183"", ""4328"", ""4335"", ""4336"", ""5114""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_J","DXXRLFAT","DXXRLFAT","Right Leg Fat (g)","Right Leg Fat (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""660.5 to 21280.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3966"", ""1148""]; Cumulative=[""3966"", ""5114""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_J","DXDRLLE","DXDRLLE","Right Leg Lean excl BMC (g)","Right Leg Lean excl Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""2012.6 to 23667.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3966"", ""1148""]; Cumulative=[""3966"", ""5114""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_J","DXXRLLI","DXXRLLI","Right Leg Lean incl BMC (g)","Right Leg Lean incl Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""2128.8 to 24345.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3988"", ""1126""]; Cumulative=[""3988"", ""5114""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_J","DXDRLTOT","DXDRLTOT","Right Leg Total (g)","Right Leg Total (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""3358.7 to 40056.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3942"", ""1172""]; Cumulative=[""3942"", ""5114""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_J","DXDRLPF","DXDRLPF","Right Leg Percent Fat","Right Leg Percent Fat","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""10.9 to 63.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3966"", ""1148""]; Cumulative=[""3966"", ""5114""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_J","DXXLRA","DXXLRA","Left Ribs Area (cm^2)","Left Ribs Area(cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""55.96 to 233.02"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3912"", ""1202""]; Cumulative=[""3912"", ""5114""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_J","DXXLRBMC","DXXLRBMC","Left Ribs BMC (g)","Left Ribs Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""24.61 to 162.57"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3912"", ""1202""]; Cumulative=[""3912"", ""5114""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_J","DXXLRBMD","DXXLRBMD","Left Ribs BMD (g/cm^2)","Left Ribs Bone Mineral Density (grams/cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.359 to 1.134"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3912"", ""1202""]; Cumulative=[""3912"", ""5114""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_J","DXXRRA","DXXRRA","Right Ribs Area (cm^2)","Right Ribs Area (cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""52.42 to 259.82"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3912"", ""1202""]; Cumulative=[""3912"", ""5114""]; Skip.to.Item=[""NA"", ""NA""]"
