"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"SSAFB_A","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 12 YEARS - 150 YEARS",NA,NA
"SSAFB_A","WTSPH41","WTSPH41","Phthalate Mec Weight Jack Knife Rep 41","Phthalate Mec Weight Jack Knife Rep 41","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 811402.56065"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH42","WTSPH42","Phthalate Mec Weight Jack Knife Rep 42","Phthalate Mec Weight Jack Knife Rep 42","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 785193.45114"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH43","WTSPH43","Phthalate Mec Weight Jack Knife Rep 43","Phthalate Mec Weight Jack Knife Rep 43","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 789336.29035"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH44","WTSPH44","Phthalate Mec Weight Jack Knife Rep 44","Phthalate Mec Weight Jack Knife Rep 44","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 786131.31634"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH45","WTSPH45","Phthalate Mec Weight Jack Knife Rep 45","Phthalate Mec Weight Jack Knife Rep 45","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 717399.16182"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH46","WTSPH46","Phthalate Mec Weight Jack Knife Rep 46","Phthalate Mec Weight Jack Knife Rep 46","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 803502.12242"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH47","WTSPH47","Phthalate Mec Weight Jack Knife Rep 47","Phthalate Mec Weight Jack Knife Rep 47","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 748407.58193"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH48","WTSPH48","Phthalate Mec Weight Jack Knife Rep 48","Phthalate Mec Weight Jack Knife Rep 48","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 785023.73178"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH49","WTSPH49","Phthalate Mec Weight Jack Knife Rep 49","Phthalate Mec Weight Jack Knife Rep 49","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 780791.20822"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH50","WTSPH50","Phthalate Mec Weight Jack Knife Rep 50","Phthalate Mec Weight Jack Knife Rep 50","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 775462.40387"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH51","WTSPH51","Phthalate Mec Weight Jack Knife Rep 51","Phthalate Mec Weight Jack Knife Rep 51","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 771051.13226"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH52","WTSPH52","Phthalate Mec Weight Jack Knife Rep 52","Phthalate Mec Weight Jack Knife Rep 52","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 783993.68521"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
