Years,Lab Method Name,Documentation,Release Date,PDF Link
2017-2018,HIV NAT,[PDF - 749 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HIV-J-MET-APTIMA-508.pdf
2019-2020,HIV NAT,[PDF - 764 KB],July 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HIV-K-R-MET-APTIMA-508.pdf
2017-2018,HS-CRP,[PDF - 874 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HSCRP-J-MET-508.pdf
2019-2020,HS-CRP,[PDF - 947 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HSCRP-K-MET-508.pdf
2017-2018,"Inorganic Mercury, Methyl Mercury, Ethyl Mercury",[PDF - 2.07 MB],June 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/IHGEM-J-MET-508.pdf
2017-2018,Insulin,[PDF - 788 KB],August 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/INS-J-MET-508.pdf
2019-2020,Insulin,[PDF - 805 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/INS-K-MET-508.pdf
2017-2018,"Iodine and Mercury, Urine",[PDF - 2.24 MB],October 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/UIO-J-UHG-J-MET-508.pdf
2019-2020,"Iodine and Mercury, Urine",[PDF - 2.29 MB],November 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/UIO-UHG-K-MET-508.pdf
2019-2020,"Iodine, Salt",[PDF - 3.29 MB],February 2023,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/IODS-K-R-MET-508.pdf
2019-2020,Iron (Frozen),[PDF - 899 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/FETIB-K-MET-Iron-(Frozen)-508.pdf
2017-2018,Iron Status - Iron (Frozen),[PDF - 955 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/FETIB-J-MET-Iron-(Frozen)-508.pdf
2017-2018,Iron Status - UIBC (Frozen),[PDF - 936 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/FETIB-J-MET-UIBC-508.pdf
2019-2020,Luteinizing Hormone,[PDF - 1.08 MB],December 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/TST-K-R-LUH-MET-508.pdf
2017-2018,Luteinizing Hormone (LH),[PDF - 1.16 MB],December 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/SSTST-J-MET-LUH-508.pdf
2019-2020,"Mercury: Inorganic, Ethyl, and Methyl - Blood",[PDF - 1.47 MB],November 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/IHGEM-K-MET-508.pdf
2017-2018,Metals - Urine,[PDF - 3.78 MB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/UM-J-MET-508.pdf
2019-2020,Metals - Urine,[PDF - 7.36 MB],November 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/UM-K-UM-K-R-MET-508.pdf
2017-2018,Mycoplasma Genitalium,[PDF - 694 KB],July 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/MGEA-J-R-MGEN-J-R-MET-508.pdf
2019-2020,Mycoplasma Genitalium,[PDF - 736 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/MGEA-K-R-MGEN-K-R-MET-508.pdf
2017-2018,Organophosphate Insecticides - Dialkyl Phosphate Metabolites - Urine,[PDF - 1.96 MB],March 2022,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/OPD-J-MET-508.pdf
2017-2018,Panel of Steroid Hormones,[PDF - 2.64 MB],December 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/SSTST-J-MET-HormonePanel-508.pdf
2019-2020,Panel of Steroid Hormones,[PDF - 2.64 MB],December 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/TST-K-R-Hormone-Panel-MET-508.pdf
2019-2020,"Perchlorate, Nitrate, and Thiocyanate - Urine",[PDF - 1.50 MB],September 2023,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/PRNT-K-R-MET-508.pdf
2019-2020,Perfluoroalkyl and Polyfluoroalkyl Substances,[PDF - 1.60 MB],May 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/PFAS-K-Met-508.pdf
2017-2018,Perfluoroalkyl and Polyfluoroalkyl Substances (PFAS),[PDF - 1.39 MB],November 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/PFAS-J-MET-508.pdf
2017-2018,Phthalates and Plasticizers Metabolites,[PDF - 2.08 MB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/PHTHTE-J-MET-508.pdf
2017-2018,Plasma Fasting Glucose,[PDF - 779 KB],August 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/GLU-J-MET-508.pdf
2019-2020,Plasma Fasting Glucose,[PDF - 766 KB],May 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/GLU-K-MET-508.pdf
